Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-December-2021,35.65,36.00,34.50,34.60,34.924074541912446654,589789,3873,20597835.00,238292,40.40,1.50,-1.05
15-December-2021,35.95,35.95,35.05,35.30,35.463367642772775383,325955,1416,11559462.00,104415,32.03,0.90,-0.65
14-December-2021,36.40,36.40,35.50,35.60,35.738912834275335800,295116,1579,10547125.00,90886,30.80,0.90,-0.80
13-December-2021,37.15,37.25,36.10,36.25,36.707253343735802651,840826,4263,30864413.00,399277,47.49,1.15,-0.90
10-December-2021,36.30,37.35,36.20,36.60,36.649027103261714003,1004012,4745,36796063.00,470343,46.85,1.15,0.30
9-December-2021,35.25,37.05,35.05,36.30,36.216491807443160167,1574600,5972,57026488.00,597392,37.94,2.00,1.05
8-December-2021,34.90,35.10,34.60,34.85,34.816514642342774843,322865,1291,11241034.00,108947,33.74,0.50,-0.05
7-December-2021,33.90,34.65,33.90,34.30,34.410821597401773951,567772,3017,19537501.00,213501,37.60,0.75,0.40
6-December-2021,34.85,34.95,33.75,33.90,34.484589480384102046,615878,4381,21238300.00,275508,44.73,1.20,-0.95
3-December-2021,34.80,35.25,34.35,34.70,34.774423369600015760,406066,1445,14120711.00,92985,22.90,0.90,-0.10
2-December-2021,34.40,34.50,34.10,34.35,34.263699842193140606,240167,896,8229010.00,67700,28.19,0.40,-0.05
1-December-2021,34.80,35.05,33.85,34.05,34.208676492124988350,751110,3584,25694479.00,288836,38.45,1.20,-0.75
30-November-2021,33.20,34.55,33.20,33.55,33.797251554175275778,1102514,5218,37261943.00,458567,41.59,1.35,0.35
29-November-2021,34.70,35.25,32.80,33.45,33.798919220207183447,1471160,8263,49723618.00,706759,48.04,2.45,-1.25
26-November-2021,36.20,36.30,34.80,35.10,35.596117906395968349,846502,6727,30132185.00,419574,49.57,1.50,-1.10
25-November-2021,37.00,37.00,35.85,36.50,36.300143891910348023,615045,3256,22326222.00,306478,49.83,1.15,-0.50
24-November-2021,36.80,37.00,35.90,36.05,36.514613934385480521,522994,3804,19096924.00,242648,46.40,1.10,-0.75
